date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:18	51970/51970	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2004:45:17%20GMT	https://theearth.ngo/photo-gallery	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/photo-gallery.html	(from )
10:15:18	0/0	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2004:45:18%20GMT	https://theearth.ngo/robots.txt		(from )
10:15:19	12852/12852	---M--	200	added ('OK')	image/png	etag:%223234-65058a06-1f94d96e2213abc5;;;%22	https://theearth.ngo/public/uploads/logo/Earth%20Logo%20TM.png	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/uploads/logo/Earth%20Logo%20TM.png	(from https://theearth.ngo/photo-gallery)
10:15:19	99392/99392	---M-Z	200	added ('OK')	text/css	etag:%2218440-65049b41-eab69ff27d690a9f;gz%22	https://theearth.ngo/public/web/assets/css/font-awesome-all.css	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/web/assets/css/font-awesome-all.css	(from https://theearth.ngo/photo-gallery)
10:15:21	3181/3181	---M-Z	200	added ('OK')	text/css	etag:%22c6d-65049b41-bb6d7c6bb0e84977;gz%22	https://theearth.ngo/public/web/assets/css/flaticon.css	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/web/assets/css/flaticon.css	(from https://theearth.ngo/photo-gallery)
10:15:21	5688/5688	---M-Z	200	added ('OK')	text/css	etag:%221638-65049b41-ae688c622b0535bd;gz%22	https://theearth.ngo/public/web/assets/css/owl.css	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/web/assets/css/owl.css	(from https://theearth.ngo/photo-gallery)
10:15:21	19399/19399	---M-Z	200	added ('OK')	text/css	etag:%224bc7-65049b41-3127abb0adce412c;gz%22	https://theearth.ngo/public/web/assets/css/swiper.min.css	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/web/assets/css/swiper.min.css	(from https://theearth.ngo/photo-gallery)
10:15:22	197191/197191	---M-Z	200	added ('OK')	text/css	etag:%2230247-65049b41-44e2a81a38c0e134;gz%22	https://theearth.ngo/public/web/assets/css/bootstrap.css	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/web/assets/css/bootstrap.css	(from https://theearth.ngo/photo-gallery)
10:15:22	13735/13735	---M-Z	200	added ('OK')	text/css	etag:%2235a7-65049b41-1914b55e39a4c190;gz%22	https://theearth.ngo/public/web/assets/css/jquery.fancybox.min.css	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/web/assets/css/jquery.fancybox.min.css	(from https://theearth.ngo/photo-gallery)
10:15:22	87995/87995	---M-Z	200	added ('OK')	text/css	etag:%22157bb-65049b41-d600603a1b7e431a;gz%22	https://theearth.ngo/public/web/assets/css/animate.css	D:/My%20Web%20Sites/n_Ngo/theearth.ngo/public/web/assets/css/animate.css	(from https://theearth.ngo/photo-gallery)
